`elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date,home_last5_wins,away_last5_wins,home_last5_goals_scored,home_last5_goals_conceded,away_last5_goals_scored,away_last5_goals_conceded
45.0,0,0.9321396993810788,0.0,1.5121650754542657,2.024330150908531,African Cup of Nations,1.0,2.0,Gabon,Zambia,2010-01-21,2,0,3.0,0.0,3.0,4.0
313.0,0,3.0,1.0,0.5521283158544109,2.1042566317088216,King's Cup,6.0,1.0,Poland,Singapore,2010-01-23,1,0,3.0,1.0,1.0,4.0
-260.0,1,6.0,0.0,1.0,0.0,Friendly,1.0,1.0,Syria,Sweden,2010-01-23,1,1,6.0,0.0,1.0,0.0
177.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,United States,Honduras,2010-01-23,0,0,0.0,0.0,0.0,0.0
-270.0,1,1.7889297600280258,1.3058328954282712,0.4937591776798825,0.0,African Cup of Nations,0.0,1.0,Angola,Ghana,2010-01-24,1,1,7.0,5.0,1.0,0.0
91.0,0,2.0384615384615383,0.2939681463910539,1.9488542012620391,1.5182663566921288,African Cup of Nations,3.0,1.0,Egypt,Cameroon,2010-01-25,4,2,8.0,1.0,8.0,6.0
-198.0,0,1.671981776765376,1.6887554359080554,1.578744618173578,1.1923861318830726,African Cup of Nations,0.0,0.0,Zambia,Nigeria,2010-01-25,1,2,5.0,5.0,5.0,3.0
313.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,3.0,2.0,Argentina,Costa Rica,2010-01-26,0,0,0.0,0.0,0.0,0.0
178.0,1,1.321220365332297,1.321220365332297,0.0,6.0,Friendly,3.0,0.0,South Africa,Zimbabwe,2010-01-27,0,0,0.0,0.0,0.0,6.0
-355.0,0,0.3493166550845494,0.9583043780403058,2.249834765366821,0.4491738268341044,African Cup of Nations,0.0,4.0,Algeria,Egypt,2010-01-28,1,5,1.0,3.0,11.0,2.0
-35.0,0,0.6680308136735676,0.0,1.1709243697478993,0.8843697478991597,African Cup of Nations,1.0,0.0,Ghana,Nigeria,2010-01-28,2,2,2.0,0.0,5.0,3.0
336.0,0,0.910718954248366,0.9100653594771242,0.2483940042826552,1.837094383132927,African Cup of Nations,1.0,0.0,Nigeria,Algeria,2010-01-30,2,1,5.0,4.0,1.0,7.0
-54.0,0,0.7658346068942096,0.0,2.522980812137438,0.3790718429272646,African Cup of Nations,0.0,1.0,Ghana,Egypt,2010-01-31,3,5,3.0,0.0,14.0,2.0
-4.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,0.0,Jamaica,Canada,2010-01-31,0,0,0.0,0.0,0.0,0.0
120.0,1,3.0,2.0,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Japan,Venezuela,2010-02-02,1,0,3.0,2.0,0.0,0.0
386.0,1,3.0,2.0,1.0,0.0,Friendly,2.0,1.0,Argentina,Jamaica,2010-02-10,1,1,3.0,2.0,1.0,0.0
553.0,1,1.2882111034955448,0.8588074023303632,0.0,4.0,EAFF Championship,3.0,0.0,Japan,Hong Kong,2010-02-11,1,0,3.0,2.0,0.0,4.0
-317.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Challenge Cup,0.0,4.0,Sri Lanka,Myanmar,2010-02-16,0,0,0.0,0.0,0.0,0.0
298.0,0,1.0,0.0,1.321220365332297,1.321220365332297,AFC Challenge Cup,1.0,2.0,Tajikistan,Bangladesh,2010-02-16,1,0,1.0,0.0,0.0,0.0
-267.0,0,2.0,1.0,4.0,0.0,AFC Challenge Cup,1.0,2.0,Bangladesh,Myanmar,2010-02-18,1,1,2.0,1.0,4.0,0.0
-348.0,1,0.0,4.0,1.0,0.8655500226346763,AFC Challenge Cup,1.0,3.0,Sri Lanka,Tajikistan,2010-02-18,0,1,0.0,4.0,2.0,2.0
12.0,0,2.0,2.0,3.236923076923077,0.5526153846153846,Friendly,1.0,1.0,Kuwait,Syria,2010-02-19,0,1,2.0,2.0,7.0,1.0
-50.0,1,0.5062575696406943,3.4937424303593057,1.5062575696406943,1.4937424303593057,AFC Challenge Cup,3.0,0.0,Sri Lanka,Bangladesh,2010-02-20,0,1,1.0,7.0,3.0,3.0
